"","LATITUDE","LONGITUDE","BRIGHTNESS","SCAN","TRACK","ACQ_DATE","ACQ_TIME","SATELLITE","INSTRUMENT","CONFIDENCE","VERSION","BRIGHT_T31","FRP","DAYNIGHT","TYPE","X","Y","Date"
"125",33.715828,-117.710754,NA,7072,1978,"10/29/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-29
"126",33.716098,-117.710756,NA,7072,1977,"10/29/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-29
"127",33.715826,-117.711078,NA,7071,1978,"10/29/2022 0:00:00",1829,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-10-29
"128",33.716097,-117.71108,NA,2191,1897,"10/30/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71106794,33.7160921,2022-10-30
"129",33.715826,-117.711078,NA,2191,1898,"10/30/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-10-30
"130",33.716098,-117.710756,NA,2192,1897,"10/30/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-10-30
"131",33.715828,-117.710754,NA,2192,1898,"10/30/2022 0:00:00",1822,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-10-30
"132",34.291484,-118.801616,NA,2380,5079,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160371,34.2914791,2022-11-06
"133",33.715826,-117.711078,NA,5711,7248,"11/6/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-11-06
"134",33.716098,-117.710756,NA,5712,7247,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-11-06
"135",33.715828,-117.710754,NA,5712,7248,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-11-06
"136",33.71754,-117.695227,NA,5760,7242,"11/6/2022 0:00:00",1828,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-11-06
"137",33.717269,-117.695224,NA,5760,7243,"11/6/2022 0:00:00",1828,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-11-06
"138",34.29202,-118.801954,NA,2379,5077,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80194171,34.2920151,2022-11-06
"139",34.291479,-118.801942,NA,2379,5079,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80192971,34.2914741,2022-11-06
"140",34.291755,-118.801622,NA,2380,5078,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80160971,34.2917501,2022-11-06
"141",34.29175,-118.801948,NA,2379,5078,"11/6/2022 0:00:00",1828,"L9","OLI-2","H",NA,NA,NA,"D",NA,-118.80193571,34.2917451,2022-11-06
"142",33.715828,-117.710754,NA,7022,1978,"11/6/2022 0:00:00",1829,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074194,33.7158231,2022-11-06
"143",33.71754,-117.695227,NA,7070,1972,"11/6/2022 0:00:00",1829,"L9","OLI-2","M",NA,NA,NA,"D",NA,-117.69521494,33.7175351,2022-11-06
"144",33.717269,-117.695224,NA,7070,1973,"11/6/2022 0:00:00",1829,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.69521194,33.7172641,2022-11-06
"145",33.716098,-117.710756,NA,7022,1977,"11/6/2022 0:00:00",1829,"L9","OLI-2","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-11-06
"146",33.715826,-117.711078,NA,7021,1978,"11/6/2022 0:00:00",1829,"L9","OLI-2","L",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-11-06
"147",30.340686,-97.619294,NA,4581,3729,"11/12/2022 0:00:00",1703,"L8","OLI","H",NA,NA,NA,"D",NA,-97.61928642,30.34068072,2022-11-12
"148",33.715826,-117.711078,NA,5701,7258,"11/14/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71106594,33.7158211,2022-11-14
"149",33.716098,-117.710756,NA,5702,7257,"11/14/2022 0:00:00",1828,"L8","OLI","H",NA,NA,NA,"D",NA,-117.71074394,33.7160931,2022-11-14
